PragaTime,TAVG,PREC,RHAVG,RAD,W_SCAL_INT,W_VEC_DIR,W_VEC_INT,LEAFW,ET0
2023-03-01 00:00:00,1.0,0.0,92.2,0.0,1.1,325.3,0.9,1.0,0.0
2023-03-01 01:00:00,1.7,0.0,92.5,0.0,1.0,23.4,0.8,0.0,0.0
2023-03-01 02:00:00,2.5,0.0,89.4,0.0,0.3,64.3,0.1,0.0,0.0
2023-03-01 03:00:00,2.7,0.0,86.3,0.0,0.3,344.5,0.0,0.0,0.0
2023-03-01 04:00:00,2.4,0.0,88.9,0.0,0.9,295.6,0.8,0.0,0.0
2023-03-01 05:00:00,2.9,0.0,84.9,0.0,1.0,280.8,1.0,0.0,0.0
2023-03-01 06:00:00,2.9,0.0,86.3,0.0,1.3,237.3,1.2,0.0,0.0
2023-03-01 07:00:00,3.3,0.0,79.6,12.2,0.9,175.3,0.3,1.0,0.0
2023-03-01 08:00:00,2.6,0.4,89.3,45.8,3.1,226.5,2.9,1.0,0.0
2023-03-01 09:00:00,3.0,0.0,90.3,76.0,2.6,221.8,2.7,1.0,0.0
2023-03-01 10:00:00,3.8,0.1,86.4,96.0,2.5,224.4,2.4,1.0,0.0
2023-03-01 11:00:00,3.9,0.0,86.0,136.2,2.7,225.1,2.7,1.0,0.1
2023-03-01 12:00:00,3.9,0.6,87.3,74.2,1.9,206.0,1.8,1.0,0.0
2023-03-01 13:00:00,2.7,1.7,92.3,51.7,2.1,232.6,2.1,1.0,0.0
2023-03-01 14:00:00,2.0,2.1,93.5,43.3,1.6,244.6,1.6,1.0,0.0
2023-03-01 15:00:00,1.7,1.6,94.6,49.6,1.2,221.2,1.1,1.0,0.0
2023-03-01 16:00:00,1.7,1.0,94.4,25.6,2.0,238.9,2.0,1.0,0.0
2023-03-01 17:00:00,1.8,1.2,95.5,6.9,2.1,240.9,2.1,1.0,0.0
2023-03-01 18:00:00,1.4,1.2,95.4,0.0,2.1,243.3,2.1,1.0,0.0
2023-03-01 19:00:00,0.9,1.7,96.3,0.0,1.7,250.3,1.6,1.0,0.0
2023-03-01 20:00:00,1.1,0.4,96.4,0.0,2.0,244.7,2.0,1.0,0.0
2023-03-01 21:00:00,1.4,0.3,96.5,0.0,1.6,264.4,1.5,1.0,0.0
2023-03-01 22:00:00,1.9,0.3,97.3,0.0,1.6,256.1,1.6,1.0,0.0
2023-03-01 23:00:00,2.4,0.2,96.4,0.0,1.2,256.1,1.2,1.0,0.0
2023-03-02 00:00:00,2.7,0.3,96.4,0.0,1.2,253.8,1.2,1.0,0.0
2023-03-02 01:00:00,2.9,0.4,96.5,0.0,1.6,269.8,1.5,1.0,0.0
2023-03-02 02:00:00,2.9,0.1,94.7,0.0,2.0,279.4,1.9,1.0,0.0
2023-03-02 03:00:00,3.2,0.0,93.8,0.0,1.7,285.2,1.6,1.0,0.0
2023-03-02 04:00:00,3.2,0.2,95.6,0.0,1.7,279.4,1.7,1.0,0.0
2023-03-02 05:00:00,3.1,0.0,96.5,0.0,1.7,268.2,1.7,1.0,0.0
2023-03-02 06:00:00,3.3,0.0,96.5,0.0,1.6,256.5,1.5,1.0,0.0
2023-03-02 07:00:00,3.8,0.0,95.5,23.0,1.4,263.1,1.4,1.0,0.0
2023-03-02 08:00:00,4.6,0.0,92.5,82.3,1.9,272.1,1.9,1.0,0.0
2023-03-02 09:00:00,5.8,0.0,90.4,159.3,2.0,263.7,1.9,1.0,0.1
2023-03-02 10:00:00,7.1,0.0,84.7,236.6,2.4,275.7,2.4,1.0,0.1
2023-03-02 11:00:00,8.1,0.0,80.0,356.3,2.7,253.7,2.5,1.0,0.2
2023-03-02 12:00:00,8.0,0.0,77.8,163.6,1.8,257.4,1.6,1.0,0.1
2023-03-02 13:00:00,7.3,0.1,85.2,63.9,1.5,254.3,1.3,1.0,0.0
2023-03-02 14:00:00,6.8,0.0,86.3,74.7,1.8,239.2,1.5,0.0,0.0
2023-03-02 15:00:00,6.5,0.0,88.3,53.0,1.6,237.9,1.6,1.0,0.0
2023-03-02 16:00:00,6.5,0.0,86.5,37.0,1.7,241.9,1.7,0.0,0.0
2023-03-02 17:00:00,6.4,0.0,85.6,10.3,1.5,236.0,1.4,0.0,0.0
2023-03-02 18:00:00,6.1,0.0,87.3,0.0,1.5,239.3,1.5,0.0,0.0
2023-03-02 19:00:00,5.9,0.0,86.7,0.0,1.4,221.3,1.4,0.0,0.0
2023-03-02 20:00:00,5.6,0.0,88.5,0.0,1.7,232.7,1.7,0.0,0.0
2023-03-02 21:00:00,5.5,0.0,87.9,0.0,1.5,230.5,1.4,0.0,0.0
2023-03-02 22:00:00,5.4,0.0,88.9,0.0,1.5,219.9,1.5,0.0,0.0
2023-03-02 23:00:00,5.4,0.0,88.8,0.0,1.5,236.6,1.5,0.0,0.0
2023-03-03 00:00:00,5.7,0.0,87.6,0.0,1.5,243.1,1.5,0.0,0.0
2023-03-03 01:00:00,4.5,0.0,89.9,0.0,1.3,215.2,1.3,0.0,0.0
2023-03-03 02:00:00,3.3,0.0,91.8,0.0,1.4,227.0,1.3,1.0,0.0
2023-03-03 03:00:00,3.1,0.0,94.0,0.0,1.7,230.0,1.6,1.0,0.0
2023-03-03 04:00:00,3.4,0.0,91.3,0.0,1.2,223.3,1.2,1.0,0.0
2023-03-03 05:00:00,2.5,0.0,94.0,0.0,1.1,203.4,1.0,1.0,0.0
2023-03-03 06:00:00,1.4,0.0,95.1,0.0,1.4,221.1,1.4,1.0,0.0
2023-03-03 07:00:00,3.8,0.0,90.9,56.5,1.2,224.0,1.1,0.0,0.0
2023-03-03 08:00:00,7.7,0.0,79.8,201.7,1.2,236.0,1.1,0.0,0.1
2023-03-03 09:00:00,10.1,0.0,69.1,373.2,1.6,279.5,1.5,0.0,0.2
2023-03-03 10:00:00,11.7,0.0,64.0,515.7,1.6,269.9,1.5,0.0,0.2
2023-03-03 11:00:00,13.1,0.0,56.0,560.5,0.9,270.5,0.8,0.0,0.3
2023-03-03 12:00:00,13.4,0.0,55.6,595.6,1.3,272.9,1.2,0.0,0.3
2023-03-03 13:00:00,14.4,0.0,52.0,444.8,1.3,100.8,1.0,0.0,0.2
2023-03-03 14:00:00,13.3,0.0,53.4,376.8,1.8,28.2,1.7,0.0,0.2
2023-03-03 15:00:00,13.6,0.0,54.3,322.2,1.1,17.5,1.1,0.0,0.2
2023-03-03 16:00:00,13.6,0.0,54.7,181.0,1.3,79.9,1.3,0.0,0.1
2023-03-03 17:00:00,11.3,0.0,62.7,50.5,1.1,111.6,1.1,0.0,0.0
2023-03-03 18:00:00,7.3,0.0,83.4,0.0,0.5,160.4,0.5,0.0,0.0
2023-03-03 19:00:00,6.0,0.0,86.6,0.0,0.8,198.0,0.7,0.0,0.0
2023-03-03 20:00:00,6.9,0.0,84.7,0.0,0.3,229.5,0.3,0.0,0.0
2023-03-03 21:00:00,7.0,0.0,83.3,0.0,0.3,239.0,0.3,0.0,0.0
2023-03-03 22:00:00,6.5,0.0,86.4,0.0,0.6,195.7,0.3,0.0,0.0
2023-03-03 23:00:00,4.3,0.0,92.0,0.0,0.3,237.0,0.3,0.0,0.0
2023-03-04 00:00:00,3.7,0.0,94.9,0.0,0.5,177.1,0.3,1.0,0.0
2023-03-04 01:00:00,2.5,0.0,95.2,0.0,1.0,229.1,1.0,1.0,0.0
2023-03-04 02:00:00,1.8,0.0,95.0,0.0,0.8,215.7,0.8,0.0,0.0
2023-03-04 03:00:00,1.9,0.0,95.7,0.0,0.3,231.4,0.4,1.0,0.0
2023-03-04 04:00:00,0.9,0.0,96.4,0.0,0.5,230.8,0.5,1.0,0.0
2023-03-04 05:00:00,1.4,0.0,96.0,0.0,1.0,215.8,1.0,1.0,0.0
2023-03-04 06:00:00,2.1,0.0,93.9,0.0,1.0,230.7,1.0,0.0,0.0
2023-03-04 07:00:00,3.5,0.0,90.4,66.2,0.5,236.1,0.4,0.0,0.0
2023-03-04 08:00:00,8.2,0.0,77.8,221.4,1.1,276.5,1.1,0.0,0.1
2023-03-04 09:00:00,10.6,0.0,65.9,385.6,0.7,242.1,0.6,0.0,0.2
2023-03-04 10:00:00,12.0,0.0,59.2,515.1,1.4,51.4,1.1,0.0,0.2
2023-03-04 11:00:00,12.7,0.0,58.2,601.2,1.4,66.6,1.1,0.0,0.3
2023-03-04 12:00:00,14.4,0.0,49.8,636.5,1.5,127.6,1.5,0.0,0.3
2023-03-04 13:00:00,14.7,0.0,46.6,607.8,0.8,134.5,0.8,0.0,0.3
2023-03-04 14:00:00,15.0,0.0,47.8,523.8,1.7,77.7,1.2,0.0,0.3
2023-03-04 15:00:00,14.6,0.0,50.2,381.2,1.1,142.7,0.9,0.0,0.2
2023-03-04 16:00:00,14.0,0.0,52.0,212.5,1.0,61.1,0.8,0.0,0.1
2023-03-04 17:00:00,11.8,0.0,59.6,61.2,0.8,49.3,0.7,0.0,0.0
2023-03-04 18:00:00,6.4,0.0,82.4,0.0,0.5,101.6,0.5,0.0,0.0
2023-03-04 19:00:00,4.0,0.0,89.2,0.0,1.1,181.0,1.1,0.0,0.0
2023-03-04 20:00:00,4.8,0.0,84.7,0.0,0.8,193.6,0.8,0.0,0.0
2023-03-04 21:00:00,3.2,0.0,86.6,0.0,1.2,191.2,1.1,0.0,0.0
2023-03-04 22:00:00,3.2,0.0,87.6,0.0,1.1,202.4,1.1,0.0,0.0
2023-03-04 23:00:00,3.1,0.0,89.0,0.0,1.5,204.1,1.4,0.0,0.0
2023-03-05 00:00:00,2.6,0.0,88.3,0.0,1.1,198.1,1.1,0.0,0.0
2023-03-05 01:00:00,2.4,0.0,85.6,0.0,1.3,187.7,1.2,0.0,0.0
2023-03-05 02:00:00,1.8,0.0,87.3,0.0,1.3,199.7,1.3,0.0,0.0
2023-03-05 03:00:00,1.9,0.0,85.1,0.0,1.1,290.5,1.0,0.0,0.0
2023-03-05 04:00:00,0.5,0.0,88.8,0.0,0.8,226.6,0.6,0.0,0.0
2023-03-05 05:00:00,-1.0,0.0,90.6,0.0,1.1,188.3,1.0,0.0,0.0
2023-03-05 06:00:00,-1.3,0.0,91.2,0.0,0.2,225.8,0.2,0.0,0.0
2023-03-05 07:00:00,2.1,0.0,82.1,71.9,0.9,214.8,0.9,0.0,0.0
2023-03-05 08:00:00,7.4,0.0,68.3,231.6,0.7,238.4,0.6,0.0,0.1
2023-03-05 09:00:00,12.0,0.0,54.0,404.9,0.7,223.0,0.5,0.0,0.2
2023-03-05 10:00:00,12.9,0.0,52.0,536.5,1.5,6.2,1.4,0.0,0.3
2023-03-05 11:00:00,13.7,0.0,50.8,629.9,0.9,73.5,0.9,0.0,0.3
2023-03-05 12:00:00,14.5,0.0,50.7,659.2,1.0,74.7,0.9,0.0,0.4
2023-03-05 13:00:00,15.2,0.0,49.6,622.8,1.2,0.0,1.0,0.0,0.3
2023-03-05 14:00:00,15.6,0.0,48.3,530.2,1.5,14.4,1.4,0.0,0.3
2023-03-05 15:00:00,15.7,0.0,46.6,393.1,1.1,67.9,1.0,0.0,0.2
2023-03-05 16:00:00,15.1,0.0,49.1,219.7,1.2,85.1,1.1,0.0,0.1
2023-03-05 17:00:00,12.6,0.0,57.1,64.9,1.0,147.5,0.9,0.0,0.0
2023-03-05 18:00:00,9.8,0.0,61.8,0.0,2.8,200.9,2.6,0.0,0.0
2023-03-05 19:00:00,8.5,0.0,63.4,0.0,2.6,228.4,2.5,0.0,0.0
2023-03-05 20:00:00,7.8,0.0,65.7,0.0,1.6,207.9,1.6,0.0,0.0
2023-03-05 21:00:00,4.4,0.0,77.5,0.0,2.8,235.8,2.8,0.0,0.0
