#Datetime,soil_moisture_gravimetric[g/g],soil_moisture_volumetric[m3/m3],neutrons,muons,gamma,integration_time(s),V_in(Volt),temperature_in(°C),temperature_ext(°C),ur(%),pressure(hPa)
2023-03-07 10:00:00,,,,,,3608,14.12,23.06,0,0,993.4
2023-03-07 11:00:00,,,759.78833809189,5029.8080653057,,3609,14.11,23.1,0,0,993.08
2023-03-07 12:00:00,,,757.73276334043,5262.4500160932,,3609,14.16,23.04,0,0,992.58
2023-03-07 13:00:00,,,766.04831248,5286.5650398273,,3608,14.08,23.31,0,0,992.03
2023-03-07 14:00:00,,,726.73176342969,5317.5721267925,,3608,14.07,21.79,0,0,991.79
2023-03-07 15:00:00,,,791.28843981165,5190.7377981652,,3608,13.14,19.23,0,0,991.98
2023-03-07 16:00:00,,,774.33178710128,5175.8269482567,,3608,12.75,17.43,0,0,991.34
2023-03-07 17:00:00,,,774.72988220744,5090.1244417128,,3609,12.67,15.39,0,0,991.04
2023-03-07 18:00:00,,,771.899482075,5046.4980314659,,3609,12.62,14.6,0,0,991.32
2023-03-07 19:00:00,,,774.33474478377,5177.575772346,,3608,12.65,13.46,0,0,992.03
2023-03-07 20:00:00,,,734.13456178747,5102.7970085818,,3609,12.56,12.45,0,0,992.26
2023-03-07 21:00:00,,,788.333421638,5219.1301586756,,3608,12.5,10.41,0,0,992.23
2023-03-07 22:00:00,,,795.99624235553,5269.2251659319,,3608,12.47,10.34,0,0,991.9
2023-03-07 23:00:00,0.18524285023619,0.26119241883303,797.43153665194,5042.8532666871,,3631,12.52,10.03,0,0,991.99
2023-03-08 00:00:00,0.18449829872094,0.26014260119652,759.99342711022,5039.3242327585,,3608,12.6,9.34,0,0,991.88
2023-03-08 01:00:00,0.18495392967488,0.26078504084158,761.05948969434,5165.6867676478,,3608,12.58,8.06,0,0,992.22
2023-03-08 02:00:00,0.18594218883366,0.26217848625546,758.42132274428,5212.3837406888,,3608,12.53,7.16,0,0,991.77
2023-03-08 03:00:00,0.18378593445022,0.25913816757481,804.62801867606,5123.2448627989,,3609,12.48,5.63,0,0,991.87
2023-03-08 04:00:00,0.1852720239406,0.26123355375625,760.3153530839,5290.1004290809,,3608,12.49,4.83,0,0,991.8
2023-03-08 05:00:00,0.18558667920391,0.26167721767751,758.25300400865,5146.0640933637,,3609,12.47,4.17,0,0,992.2
2023-03-08 06:00:00,0.18639851688637,0.26282190880978,770.53587929396,5302.8555506361,,3609,12.46,5.49,0,0,992.7
