PragaTime,TAVG,PREC,RHAVG,RAD,W_SCAL_INT,W_VEC_DIR,W_VEC_INT,LEAFW,ET0
2023-03-01 00:00:00,7.5,0.0,74.9,0.0,2.4,352.3,2.1,0.0,0.0
2023-03-01 01:00:00,7.5,0.0,75.4,0.0,3.8,10.7,3.2,0.0,0.0
2023-03-01 02:00:00,7.1,0.0,82.5,0.0,1.8,325.6,1.7,0.0,0.0
2023-03-01 03:00:00,6.7,0.0,84.3,0.0,2.6,325.5,2.3,0.0,0.0
2023-03-01 04:00:00,6.2,0.0,86.3,0.0,1.3,303.9,1.1,0.0,0.0
2023-03-01 05:00:00,4.6,0.3,94.1,0.0,2.5,303.9,2.1,1.0,0.0
2023-03-01 06:00:00,4.2,0.0,93.8,0.0,2.6,329.2,2.3,1.0,0.0
2023-03-01 07:00:00,4.3,0.0,93.3,14.2,2.5,309.8,2.0,1.0,0.0
2023-03-01 08:00:00,4.6,0.0,92.6,35.3,4.1,12.0,3.2,1.0,0.0
2023-03-01 09:00:00,4.8,0.0,92.0,59.4,4.1,3.4,3.1,1.0,0.0
2023-03-01 10:00:00,4.7,1.0,95.9,54.5,4.5,4.1,2.3,1.0,0.0
2023-03-01 11:00:00,5.1,1.7,98.9,46.8,3.0,40.0,1.4,1.0,0.0
2023-03-01 12:00:00,6.4,3.3,97.3,47.5,4.1,116.5,2.1,1.0,0.0
2023-03-01 13:00:00,6.9,4.3,98.1,58.8,3.9,61.3,2.9,1.0,0.0
2023-03-01 14:00:00,6.6,5.9,97.9,46.3,4.1,0.2,2.9,1.0,0.0
2023-03-01 15:00:00,6.7,3.6,95.9,31.4,5.4,21.8,4.2,1.0,0.0
2023-03-01 16:00:00,6.8,4.3,96.7,15.6,5.0,48.4,3.6,1.0,0.0
2023-03-01 17:00:00,7.0,0.2,94.8,3.7,6.4,64.7,4.5,1.0,0.0
2023-03-01 18:00:00,5.6,0.0,99.6,0.0,3.4,356.0,2.0,1.0,0.0
2023-03-01 19:00:00,5.3,2.8,99.7,0.0,2.6,316.0,2.0,1.0,0.0
2023-03-01 20:00:00,5.1,1.2,99.8,0.0,3.2,319.4,2.4,1.0,0.0
2023-03-01 21:00:00,5.2,2.7,99.8,0.0,3.0,328.1,1.9,1.0,0.0
2023-03-01 22:00:00,5.3,0.0,99.9,0.0,2.1,317.6,1.5,1.0,0.0
2023-03-01 23:00:00,5.3,0.0,100.0,0.0,4.3,23.6,3.3,1.0,0.0
2023-03-02 00:00:00,5.6,0.0,99.8,0.0,4.6,27.7,3.7,1.0,0.0
2023-03-02 01:00:00,5.9,0.0,99.8,0.0,3.9,22.0,3.1,1.0,0.0
2023-03-02 02:00:00,6.8,0.0,99.6,0.0,2.6,342.1,2.2,1.0,0.0
2023-03-02 03:00:00,6.3,0.0,99.8,0.0,2.9,329.1,1.9,1.0,0.0
2023-03-02 04:00:00,5.4,0.0,100.0,0.0,2.5,330.2,1.5,1.0,0.0
2023-03-02 05:00:00,4.9,0.0,100.0,0.0,2.4,308.9,1.8,1.0,0.0
2023-03-02 06:00:00,4.8,0.0,100.0,0.0,2.6,293.9,2.6,1.0,0.0
2023-03-02 07:00:00,4.8,0.2,100.0,29.7,3.1,284.3,3.0,1.0,0.0
2023-03-02 08:00:00,5.8,0.0,99.0,101.6,3.0,290.4,2.9,1.0,0.0
2023-03-02 09:00:00,6.4,0.0,96.4,151.6,3.3,297.1,3.2,1.0,0.1
2023-03-02 10:00:00,6.9,0.0,95.5,146.8,2.8,310.4,2.5,1.0,0.1
2023-03-02 11:00:00,7.5,0.0,94.4,114.8,2.1,303.8,1.8,1.0,0.1
2023-03-02 12:00:00,8.1,0.0,94.6,134.1,2.5,314.9,2.1,1.0,0.1
2023-03-02 13:00:00,9.7,0.0,87.7,140.3,2.5,317.1,2.3,0.0,0.1
2023-03-02 14:00:00,9.7,0.0,82.9,170.2,3.0,337.6,2.7,0.0,0.1
2023-03-02 15:00:00,9.6,0.0,82.0,134.3,2.7,343.2,2.3,0.0,0.1
2023-03-02 16:00:00,9.5,0.0,87.3,45.2,2.8,325.2,2.4,1.0,0.0
2023-03-02 17:00:00,8.9,0.0,91.9,11.1,1.7,357.2,1.3,1.0,0.0
2023-03-02 18:00:00,8.0,0.0,94.6,0.0,1.6,295.4,1.6,1.0,0.0
2023-03-02 19:00:00,8.2,0.0,94.9,0.0,2.0,300.4,1.9,1.0,0.0
2023-03-02 20:00:00,7.6,0.0,94.9,0.0,2.9,294.3,2.9,1.0,0.0
2023-03-02 21:00:00,6.5,0.0,98.7,0.0,1.9,303.4,1.8,1.0,0.0
2023-03-02 22:00:00,6.6,0.0,97.1,0.0,2.9,279.3,2.8,1.0,0.0
2023-03-02 23:00:00,6.5,0.0,98.1,0.0,2.5,296.0,2.4,1.0,0.0
2023-03-03 00:00:00,6.5,0.0,95.0,0.0,2.1,300.6,2.1,1.0,0.0
2023-03-03 01:00:00,5.5,0.0,99.7,0.0,2.4,321.6,2.3,1.0,0.0
2023-03-03 02:00:00,5.5,0.0,98.9,0.0,2.1,315.5,2.0,1.0,0.0
2023-03-03 03:00:00,6.2,0.0,94.8,0.0,2.2,300.6,2.1,1.0,0.0
2023-03-03 04:00:00,6.1,0.0,93.9,0.0,2.5,303.5,2.4,1.0,0.0
2023-03-03 05:00:00,6.1,0.0,94.9,0.0,2.4,304.7,2.3,1.0,0.0
2023-03-03 06:00:00,5.2,0.0,95.9,0.0,1.9,327.8,1.7,1.0,0.0
2023-03-03 07:00:00,4.8,0.0,98.4,48.9,2.6,300.3,2.5,1.0,0.0
2023-03-03 08:00:00,6.6,0.0,91.0,148.9,2.4,321.8,2.4,1.0,0.0
2023-03-03 09:00:00,8.4,0.0,84.6,264.1,3.4,328.2,3.3,0.0,0.1
2023-03-03 10:00:00,10.7,0.0,72.5,423.5,3.8,337.0,3.7,0.0,0.2
2023-03-03 11:00:00,11.2,0.0,65.4,528.5,3.7,13.6,3.1,0.0,0.3
2023-03-03 12:00:00,12.4,0.0,66.2,586.1,3.2,28.2,2.7,0.0,0.3
2023-03-03 13:00:00,12.9,0.0,65.5,513.4,3.9,15.4,3.6,0.0,0.3
2023-03-03 14:00:00,12.5,0.0,66.2,420.3,4.1,14.9,3.4,0.0,0.2
