#Datetime,soil_moisture_gravimetric[g/g],soil_moisture_volumetric[m3/m3],neutrons,muons,gamma,integration_time(s),V_in(Volt),temperature_in(°C),temperature_ext(°C),ur(%),pressure(hPa)
2022-12-28 14:00:00,,,,,,3676,11.78,14.22,0,0,985.62
2022-12-28 15:00:00,,,,,,3606,11.83,12.05,0,0,985.58
2022-12-28 16:00:00,,,,,,3608,11.72,11.47,0,0,984.92
2022-12-28 17:00:00,,,,,,3607,12.15,11.44,0,0,985.03
2022-12-28 18:00:00,,,,,,3608,11.83,11.06,0,0,984.82
2022-12-28 19:00:00,,,,,,3608,12.53,10.06,0,0,984.73
2022-12-28 20:00:00,,,,,,3608,11.72,10.33,0,0,984.69
2022-12-28 21:00:00,,,962.36722338746,5494.6369263531,,3609,12.25,10.21,0,0,984.62
2022-12-28 22:00:00,,,964.40177799114,5522.9215888497,,3607,11.81,10.22,0,0,984.45
2022-12-28 23:00:00,,,968.95615318535,5517.8171366196,,3609,12,9.96,0,0,984.48
2022-12-29 00:00:00,,,970.89819387929,5501.4125848865,,3608,11.95,10.1,0,0,983.74
2022-12-29 01:00:00,,,971.34332056126,5509.2950235534,,3609,12.14,9.87,0,0,983.32
2022-12-29 02:00:00,,,973.95068932164,5503.9029504845,,3609,12.21,10.01,0,0,982.92
2022-12-29 03:00:00,0.22025529032369,0.33038293548554,979.70207268626,5509.2326752175,,3607,12.28,10.05,0,0,983.02
2022-12-29 04:00:00,0.22259676816449,0.33389515224674,974.4186195618,5507.762897388,,3609,11.67,10.05,0,0,982.47
2022-12-29 05:00:00,0.22494121542675,0.33741182314012,972.89065163877,5508.4201777754,,3608,12.37,10.09,0,0,982.47
2022-12-29 06:00:00,0.2260692972004,0.3391039458006,970.77883830592,5509.0125877054,,3608,11.97,10.03,0,0,982.53
2022-12-29 07:00:00,0.22844803184459,0.34267204776689,972.51508979478,5529.0851305827,,3609,11.82,10.42,0,0,982.56
2022-12-29 08:00:00,0.22655634634802,0.33983451952202,971.95838792072,5523.6310822202,,3609,11.92,11.52,0,0,983.07
2022-12-29 09:00:00,0.22613133426102,0.33919700139153,972.48468390888,5539.2341541532,,3609,12.54,11.99,0,0,983.22
2022-12-29 10:00:00,0.22473534139592,0.33710301209388,973.2501498726,5517.3951187645,,3608,12.42,12.69,0,0,983.32
2022-12-29 11:00:00,0.22381796810966,0.3357269521645,973.18273939363,5527.9299415087,,3612,12.54,13.35,0,0,983.2
2022-12-29 12:00:00,0.22400782929439,0.33601174394158,971.27851677552,5542.8084701423,,3613,12.09,13.83,0,0,982.87
2022-12-29 13:00:00,0.22477427629412,0.33716141444119,971.61938025009,5552.0576247816,,3610,12.27,13.37,0,0,981.9
2022-12-29 14:00:00,0.22471856585273,0.3370778487791,969.24818156538,5561.082723496,,3606,12.38,12.29,0,0,981.56
2022-12-29 15:00:00,0.21934988455489,0.32902482683234,975.51687319003,5558.4364741199,,3614,12.21,11.67,0,0,981.92
2022-12-29 16:00:00,0.21891057488817,0.32836586233226,979.88039428285,5548.3844645609,,3609,12.44,11.11,0,0,981.8
2022-12-29 17:00:00,0.21607877515125,0.32411816272688,988.57769614557,5547.291107865,,3609,11.67,10.9,0,0,981.52
2022-12-29 18:00:00,0.2183566939799,0.32753504096984,989.65079078338,5567.0512827252,,3608,11.82,10.41,0,0,981.49
2022-12-29 19:00:00,0.21579102262343,0.32368653393515,994.73764071577,5551.4457442832,,3609,12.02,11.65,0,0,981.48
2022-12-29 20:00:00,0.21611758380417,0.32417637570626,996.5828220962,5568.7066640633,,3609,12.16,10.67,0,0,981.35
2022-12-29 21:00:00,0.21878620035566,0.32817930053349,989.09666314152,5546.2575414801,,3610,12.32,10.64,0,0,981.81
2022-12-29 22:00:00,0.21960779474671,0.32941169212006,984.57536954437,5555.1455329942,,3608,12.13,10.53,0,0,981.42
2022-12-29 23:00:00,0.22122579291409,0.33183868937113,981.78164151489,5551.0234595069,,3610,12.51,11.27,0,0,981.15
2022-12-30 00:00:00,0.22127859213973,0.3319178882096,984.15051357569,5539.4620754132,,3609,12.01,11.57,0,0,980.68
2022-12-30 01:00:00,0.22213841192771,0.33320761789157,982.16228713003,5531.0663760855,,3610,12.18,10.68,0,0,980.24
2022-12-30 02:00:00,0.22359771868289,0.33539657802434,983.42323353207,5536.5403225167,,3609,12.36,9.87,0,0,980.51
2022-12-30 03:00:00,0.22224975582653,0.33337463373979,978.27383001009,5527.9408856224,,3609,11.94,9.83,0,0,979.87
2022-12-30 04:00:00,0.22074948301996,0.33112422452994,975.85021725765,5531.0549830139,,3610,11.7,9.7,0,0,979.64
2022-12-30 05:00:00,0.21867463971638,0.32801195957457,970.43871817113,5525.7074631729,,3610,12.43,9.87,0,0,979.86
2022-12-30 06:00:00,0.21688265925017,0.32532398887526,975.21003517471,5516.2059848455,,3609,11.69,9.75,0,0,980.13
2022-12-30 07:00:00,0.21636634086104,0.32454951129156,969.72518094068,5523.7951791419,,3610,11.67,10.38,0,0,980.08
2022-12-30 08:00:00,0.21758998465703,0.32638497698555,965.9216401036,5512.1204106459,,3610,11.82,10.37,0,0,980.93
2022-12-30 09:00:00,0.2180514387047,0.32707715805705,970.0688104759,5521.476771875,,3609,12.35,13.17,0,0,981.8
2022-12-30 10:00:00,0.21925188951698,0.32887783427547,975.01106879573,5531.2506098722,,3609,12.55,14.87,0,0,982.33
2022-12-30 11:00:00,0.21957005015529,0.32935507523294,976.31016529683,5531.3883849184,,3609,12.43,14.03,0,0,982.2
2022-12-30 12:00:00,0.21907411408411,0.32861117112616,974.26225225139,5538.4258932876,,3607,12.11,12.38,0,0,981.92
2022-12-30 13:00:00,0.21480863631214,0.32221295446821,982.42176586394,5515.1628184192,,3610,12.15,12.18,0,0,981.89
2022-12-30 14:00:00,0.21556881129361,0.32335321694041,980.9877612262,5518.1235085523,,3609,11.86,12.22,0,0,981.91
2022-12-30 15:00:00,0.21716376155627,0.3257456423344,976.93712600761,5499.724768186,,3608,11.7,11.48,0,0,982.16
2022-12-30 16:00:00,0.21715971694816,0.32573957542224,980.99938468115,5505.4874769618,,3621,11.7,11.12,0,0,982.35
2022-12-30 17:00:00,0.21829835228101,0.32744752842151,981.76066617443,5503.3431789615,,3609,12.15,10.94,0,0,982.68
2022-12-30 18:00:00,0.21572103142481,0.32358154713722,979.05521882467,5494.3660044222,,3610,11.89,10.84,0,0,983.51
2022-12-30 19:00:00,0.21581355723972,0.32372033585958,985.17497466691,5491.6483528396,,3610,11.69,10.79,0,0,983.93
2022-12-30 20:00:00,0.21511095999697,0.32266643999545,988.55405877431,5490.7507688811,,3609,11.85,10.69,0,0,983.95
2022-12-30 21:00:00,0.21271161222333,0.31906741833499,991.35564258418,5492.0260630061,,3610,11.75,10.61,0,0,984.49
2022-12-30 22:00:00,0.21179949317968,0.31769923976952,987.86316717925,5480.6736814716,,3609,11.97,10.55,0,0,984.55
2022-12-30 23:00:00,0.21361131542126,0.3204169731319,979.94581818994,5462.2101952664,,3610,12.37,10.54,0,0,985.49
2022-12-31 00:00:00,0.21556333814823,0.32334500722234,979.96916140188,5470.5864860512,,3609,11.85,10.48,0,0,985.78
2022-12-31 01:00:00,0.21474930459948,0.32212395689922,971.49612853558,5482.3313187192,,3610,11.89,10.46,0,0,986.18
