PragaTime,TAVG,PREC,RHAVG,RAD,W_SCAL_INT,W_VEC_DIR,W_VEC_INT,LEAFW,ET0
2022-12-28 15:00:00,9.9,0.0,86.4,44.2,1.5,172.7,1.5,0.0,0.0
2022-12-28 16:00:00,9.0,0.0,90.2,6.3,1.7,120.4,1.3,0.0,0.0
2022-12-28 17:00:00,9.0,0.0,90.6,0.0,2.1,146.0,2.0,0.0,0.0
2022-12-28 18:00:00,9.0,0.0,90.7,0.0,2.5,150.9,2.5,0.0,0.0
2022-12-28 19:00:00,8.6,0.0,91.0,0.0,1.3,155.0,1.2,0.0,0.0
2022-12-28 20:00:00,8.5,0.0,91.3,0.0,0.9,171.3,0.8,0.0,0.0
2022-12-28 21:00:00,8.3,0.0,92.4,0.0,0.8,59.4,0.7,0.0,0.0
2022-12-28 22:00:00,8.2,0.0,94.7,0.0,1.8,276.4,1.7,1.0,0.0
2022-12-28 23:00:00,8.1,0.0,95.5,0.0,2.0,275.1,1.7,1.0,0.0
2022-12-29 00:00:00,8.0,0.0,94.9,0.0,1.3,250.6,1.2,1.0,0.0
2022-12-29 01:00:00,8.1,0.0,95.1,0.0,0.0,239.7,0.7,1.0,0.0
2022-12-29 02:00:00,8.0,0.1,97.7,0.0,1.6,323.1,1.4,1.0,0.0
2022-12-29 03:00:00,8.0,0.0,96.2,0.0,0.6,57.6,0.6,1.0,0.0
2022-12-29 04:00:00,8.0,0.0,96.7,0.0,1.3,63.5,1.1,1.0,0.0
2022-12-29 05:00:00,8.1,0.0,96.6,0.0,2.1,280.1,1.7,1.0,0.0
2022-12-29 06:00:00,8.0,0.1,97.0,0.0,1.8,41.8,1.3,1.0,0.0
2022-12-29 07:00:00,7.9,0.0,97.8,0.0,1.2,354.0,0.9,1.0,0.0
2022-12-29 08:00:00,7.9,0.1,96.7,27.6,3.1,297.2,2.5,1.0,0.0
2022-12-29 09:00:00,8.1,0.0,97.7,89.6,1.5,322.4,0.4,1.0,0.0
2022-12-29 10:00:00,8.4,0.0,98.0,146.1,2.8,304.7,1.8,1.0,0.0
2022-12-29 11:00:00,8.5,0.0,96.0,179.1,2.5,28.3,1.3,1.0,0.1
2022-12-29 12:00:00,9.3,0.0,92.3,203.7,1.4,115.4,0.8,0.0,0.1
2022-12-29 13:00:00,9.7,0.0,90.1,121.2,2.7,110.0,1.7,0.0,0.1
2022-12-29 14:00:00,8.8,0.0,95.3,47.4,2.5,65.5,1.8,1.0,0.0
2022-12-29 15:00:00,8.6,0.0,96.7,22.7,1.2,349.4,0.8,1.0,0.0
2022-12-29 16:00:00,8.6,0.0,96.5,3.7,2.3,121.0,1.7,1.0,0.0
2022-12-29 17:00:00,8.5,0.0,96.6,0.0,3.7,134.0,3.3,1.0,0.0
2022-12-29 18:00:00,8.6,0.0,97.2,0.0,3.2,139.3,3.2,1.0,0.0
2022-12-29 19:00:00,8.5,0.0,97.2,0.0,2.6,128.2,2.6,1.0,0.0
2022-12-29 20:00:00,8.4,0.0,95.9,0.0,1.1,61.4,1.1,1.0,0.0
2022-12-29 21:00:00,8.4,0.0,97.4,0.0,2.5,91.5,1.6,1.0,0.0
2022-12-29 22:00:00,8.5,0.0,97.3,0.0,2.0,121.0,1.5,1.0,0.0
2022-12-29 23:00:00,8.4,0.0,97.8,0.0,2.2,126.8,2.2,1.0,0.0
2022-12-30 00:00:00,8.3,0.0,97.7,0.0,1.6,112.7,1.5,1.0,0.0
2022-12-30 01:00:00,8.2,0.0,97.9,0.0,2.3,2.4,1.9,1.0,0.0
2022-12-30 02:00:00,8.2,0.0,97.4,0.0,2.0,1.9,1.9,1.0,0.0
2022-12-30 03:00:00,7.9,0.1,98.3,0.0,3.0,1.2,2.7,1.0,0.0
2022-12-30 04:00:00,7.9,0.0,98.2,0.0,2.7,1.1,1.8,1.0,0.0
2022-12-30 05:00:00,7.8,0.0,97.8,0.0,1.7,1.5,1.6,1.0,0.0
2022-12-30 06:00:00,7.8,0.0,98.3,0.0,2.0,1.2,1.6,1.0,0.0
2022-12-30 07:00:00,7.8,0.0,98.4,0.0,2.9,0.6,2.2,1.0,0.0
2022-12-30 08:00:00,7.7,0.0,98.6,18.4,1.8,1.3,0.9,1.0,0.0
