#Datetime;neutrons;muons;gamma;integration_time(s);V_in(Volt);temperature_in(°C);temperature_ext(°C);ur(%);pressure(hPa)
2022-12-28 15:00:00;823;5414;0;3676;11.8;14.2;0.0;0.0;985.6
2022-12-28 16:00:00;919;5432;0;3606;11.8;12.1;0.0;0.0;985.6
2022-12-28 17:00:00;876;5405;0;3608;11.7;11.5;0.0;0.0;984.9
2022-12-28 18:00:00;874;5273;0;3607;12.2;11.4;0.0;0.0;985.0
2022-12-28 19:00:00;851;5286;0;3608;11.8;11.1;0.0;0.0;984.8
2022-12-28 20:00:00;911;5357;0;3608;12.5;10.1;0.0;0.0;984.7
2022-12-28 21:00:00;913;5359;0;3608;11.7;10.3;0.0;0.0;984.7
2022-12-28 22:00:00;899;5587;0;3609;12.3;10.2;0.0;0.0;984.6
2022-12-28 23:00:00;925;5350;0;3607;11.8;10.2;0.0;0.0;984.5
2022-12-29 00:00:00;909;5230;0;3609;12.0;10.0;0.0;0.0;984.5
2022-12-29 01:00:00;902;5467;0;3608;12.0;10.1;0.0;0.0;983.7
2022-12-29 02:00:00;930;5332;0;3609;12.1;9.9;0.0;0.0;983.3
2022-12-29 03:00:00;904;5508;0;3609;12.2;10.0;0.0;0.0;982.9
2022-12-29 04:00:00;878;5444;0;3607;12.3;10.1;0.0;0.0;983.0
2022-12-29 05:00:00;876;5441;0;3609;11.7;10.1;0.0;0.0;982.5
2022-12-29 06:00:00;867;5309;0;3608;12.4;10.1;0.0;0.0;982.5
2022-12-29 07:00:00;885;5548;0;3608;12.0;10.0;0.0;0.0;982.5
2022-12-29 08:00:00;920;5317;0;3609;11.8;10.4;0.0;0.0;982.6
2022-12-29 09:00:00;931;5560;0;3609;11.9;11.5;0.0;0.0;983.1
2022-12-29 10:00:00;917;5347;0;3609;12.5;12.0;0.0;0.0;983.2
2022-12-29 11:00:00;932;5487;0;3608;12.4;12.7;0.0;0.0;983.3
2022-12-29 12:00:00;896;5419;0;3612;12.5;13.4;0.0;0.0;983.2
2022-12-29 13:00:00;912;5586;0;3613;12.1;13.8;0.0;0.0;982.9
2022-12-29 14:00:00;913;5454;0;3610;12.3;13.4;0.0;0.0;981.9
2022-12-29 15:00:00;984;5493;0;3606;12.4;12.3;0.0;0.0;981.6
2022-12-29 16:00:00;934;5338;0;3614;12.2;11.7;0.0;0.0;981.9
2022-12-29 17:00:00;978;5436;0;3609;12.4;11.1;0.0;0.0;981.8
2022-12-29 18:00:00;886;5553;0;3609;11.7;10.9;0.0;0.0;981.5
2022-12-29 19:00:00;950;5376;0;3608;11.8;10.4;0.0;0.0;981.5
2022-12-29 20:00:00;948;5533;0;3609;12.0;11.7;0.0;0.0;981.5
2022-12-29 21:00:00;858;5316;0;3609;12.2;10.7;0.0;0.0;981.4
2022-12-29 22:00:00;876;5467;0;3610;12.3;10.6;0.0;0.0;981.8
2022-12-29 23:00:00;914;5461;0;3608;12.1;10.5;0.0;0.0;981.4
2022-12-30 00:00:00;937;5306;0;3610;12.5;11.3;0.0;0.0;981.2
2022-12-30 01:00:00;905;5513;0;3609;12.0;11.6;0.0;0.0;980.7
2022-12-30 02:00:00;939;5538;0;3610;12.2;10.7;0.0;0.0;980.2
2022-12-30 03:00:00;934;5403;0;3609;12.4;9.9;0.0;0.0;980.5
2022-12-30 04:00:00;921;5398;0;3609;11.9;9.8;0.0;0.0;979.9
2022-12-30 05:00:00;932;5397;0;3610;11.7;9.7;0.0;0.0;979.6
2022-12-30 06:00:00;952;5460;0;3610;12.4;9.9;0.0;0.0;979.9
2022-12-30 07:00:00;897;5482;0;3609;11.7;9.8;0.0;0.0;980.1
2022-12-30 08:00:00;915;5412;0;3610;11.7;10.4;0.0;0.0;980.1
