datetime,TAVG,PREC,RHAVG,RAD,W_SCAL_INT,W_VEC_DIR,W_VEC_INT,LEAFW,ET0
2023-01-01 00:00:00,9.5,0.0,94.8,0.0,0.6,264.6,0.6,1.0,0.0
2023-01-01 01:00:00,9.2,0.0,95.6,0.0,0.8,222.8,0.7,1.0,0.0
2023-01-01 02:00:00,9.0,0.0,93.7,0.0,1.2,257.0,1.1,1.0,0.0
2023-01-01 03:00:00,8.5,0.0,94.2,0.0,0.9,238.9,0.9,1.0,0.0
2023-01-01 04:00:00,8.2,0.0,92.7,0.0,1.1,256.7,1.1,1.0,0.0
2023-01-01 05:00:00,7.6,0.0,92.2,0.0,0.9,245.7,0.9,1.0,0.0
2023-01-01 06:00:00,7.2,0.0,92.8,0.0,1.4,261.5,1.4,1.0,0.0
2023-01-01 07:00:00,7.0,0.0,93.5,0.0,0.9,232.1,0.9,1.0,0.0
2023-01-01 08:00:00,7.8,0.0,92.9,45.9,1.7,257.1,1.7,1.0,0.0
2023-01-01 09:00:00,8.7,0.0,96.1,142.0,2.1,261.4,2.1,1.0,0.0
2023-01-01 10:00:00,9.3,0.0,94.8,203.6,2.0,249.6,1.9,1.0,0.1
2023-01-01 11:00:00,9.9,0.0,95.4,298.1,1.2,267.1,1.2,1.0,0.1
2023-01-01 12:00:00,10.3,0.0,96.3,279.7,2.1,302.0,1.9,1.0,0.1
2023-01-01 13:00:00,10.8,0.0,94.4,167.3,1.5,297.0,1.5,1.0,0.1
2023-01-01 14:00:00,11.1,0.0,90.6,82.2,0.5,254.9,0.3,1.0,0.0
2023-01-01 15:00:00,10.9,0.0,91.9,40.1,0.9,296.1,0.7,1.0,0.0
2023-01-01 16:00:00,10.5,0.0,93.3,6.7,0.9,301.1,0.8,1.0,0.0
2023-01-01 17:00:00,10.2,0.0,93.9,0.0,1.1,311.4,1.0,1.0,0.0
2023-01-01 18:00:00,10.1,0.0,94.4,0.0,1.0,7.4,0.9,1.0,0.0
2023-01-01 19:00:00,9.9,0.0,94.2,0.0,0.6,349.1,0.4,1.0,0.0
2023-01-01 20:00:00,9.8,0.0,94.5,0.0,0.9,308.5,0.9,1.0,0.0
2023-01-01 21:00:00,9.8,0.0,94.2,0.0,0.6,280.0,0.5,1.0,0.0
2023-01-01 22:00:00,9.6,0.0,94.5,0.0,0.7,241.2,0.7,1.0,0.0
2023-01-01 23:00:00,9.5,0.0,94.8,0.0,1.0,263.7,1.0,1.0,0.0
2023-01-02 00:00:00,9.4,0.0,95.1,0.0,0.8,240.7,0.7,1.0,0.0
2023-01-02 01:00:00,9.3,0.0,94.3,0.0,0.4,237.1,0.3,1.0,0.0
2023-01-02 02:00:00,9.1,0.0,95.2,0.0,1.0,255.5,1.0,1.0,0.0
2023-01-02 03:00:00,8.9,0.0,95.6,0.0,1.0,261.4,0.9,1.0,0.0
2023-01-02 04:00:00,8.6,0.0,97.2,0.0,0.8,254.4,0.8,1.0,0.0
2023-01-02 05:00:00,8.6,0.0,96.9,0.0,0.8,228.4,0.8,1.0,0.0
2023-01-02 06:00:00,8.5,0.0,97.5,0.0,1.3,268.2,1.3,1.0,0.0
2023-01-02 07:00:00,8.5,0.0,97.6,0.0,1.0,250.7,1.0,1.0,0.0
2023-01-02 08:00:00,8.6,0.0,97.5,14.2,1.1,239.8,1.0,1.0,0.0
2023-01-02 09:00:00,8.8,0.0,97.8,43.5,0.7,263.1,0.6,1.0,0.0
2023-01-02 10:00:00,9.0,0.0,97.8,66.6,1.2,180.2,1.2,1.0,0.0
2023-01-02 11:00:00,9.4,0.0,96.4,76.9,0.6,152.8,0.6,1.0,0.0
2023-01-02 12:00:00,9.3,0.0,94.7,62.3,0.9,187.2,0.8,1.0,0.0
2023-01-02 13:00:00,9.4,0.0,95.1,65.0,1.2,136.9,1.1,1.0,0.0
2023-01-02 14:00:00,9.1,0.0,96.1,43.0,0.7,180.2,0.6,1.0,0.0
2023-01-02 15:00:00,9.0,0.0,96.9,21.5,1.1,155.5,1.1,1.0,0.0
2023-01-02 16:00:00,8.7,0.0,97.7,3.7,1.3,168.4,1.3,1.0,0.0
2023-01-02 17:00:00,8.7,0.0,97.0,0.0,0.5,174.8,0.4,1.0,0.0
2023-01-02 18:00:00,8.5,0.0,97.8,0.0,0.6,317.2,0.4,1.0,0.0
2023-01-02 19:00:00,8.4,0.0,97.8,0.0,0.6,140.5,0.5,1.0,0.0
2023-01-02 20:00:00,8.4,0.0,96.7,0.0,0.6,101.5,0.4,1.0,0.0
2023-01-02 21:00:00,8.4,0.0,96.7,0.0,0.7,178.0,0.7,1.0,0.0
2023-01-02 22:00:00,8.3,0.0,97.3,0.0,0.7,197.1,0.7,1.0,0.0
2023-01-02 23:00:00,8.1,0.0,97.5,0.0,1.0,219.8,1.0,1.0,0.0
2023-01-03 00:00:00,8.1,0.0,97.8,0.0,1.0,228.5,0.9,1.0,0.0
2023-01-03 01:00:00,8.1,0.0,98.0,0.0,0.7,248.9,0.6,1.0,0.0
2023-01-03 02:00:00,8.2,0.0,97.5,0.0,0.5,248.8,0.5,1.0,0.0
2023-01-03 03:00:00,8.2,0.1,97.9,0.0,0.6,244.8,0.3,1.0,0.0
2023-01-03 04:00:00,8.3,0.0,97.2,0.0,0.5,112.4,0.6,1.0,0.0
2023-01-03 05:00:00,8.3,0.0,96.9,0.0,0.6,157.6,0.3,1.0,0.0
2023-01-03 06:00:00,8.3,0.0,96.8,0.0,0.7,150.0,0.5,1.0,0.0
2023-01-03 07:00:00,8.2,0.0,96.8,0.0,0.6,154.0,0.4,1.0,0.0
2023-01-03 08:00:00,8.5,0.0,96.8,19.7,0.4,216.3,0.3,1.0,0.0
