datetime,TAVG,PREC,RHAVG,RAD,W_SCAL_INT,W_VEC_DIR,W_VEC_INT,LEAFW,ET0
2023-01-01 00:00:00,7.4,0.0,93.9,0.0,2.0,260.1,2.0,1.0,0.0
2023-01-01 01:00:00,6.7,0.0,96.1,0.0,1.3,262.5,1.3,1.0,0.0
2023-01-01 02:00:00,6.0,0.0,96.1,0.0,1.4,261.9,1.4,1.0,0.0
2023-01-01 03:00:00,5.6,0.0,96.1,0.0,1.8,250.0,1.8,1.0,0.0
2023-01-01 04:00:00,5.0,0.0,96.2,0.0,1.5,277.6,1.5,1.0,0.0
2023-01-01 05:00:00,4.9,0.0,96.8,0.0,0.5,217.8,0.5,1.0,0.0
2023-01-01 06:00:00,4.8,0.0,96.9,0.0,1.5,264.0,1.5,1.0,0.0
2023-01-01 07:00:00,4.2,0.0,97.3,0.0,1.8,263.8,1.8,1.0,0.0
2023-01-01 08:00:00,5.5,0.0,97.1,46.4,2.1,264.9,2.1,1.0,0.0
2023-01-01 09:00:00,7.9,0.0,91.7,141.0,3.2,269.9,3.2,1.0,0.0
2023-01-01 10:00:00,9.3,0.1,91.8,214.2,3.5,274.7,3.5,1.0,0.1
2023-01-01 11:00:00,10.3,0.0,87.4,271.0,2.8,285.8,2.8,0.0,0.1
2023-01-01 12:00:00,11.2,0.0,85.5,239.0,3.1,281.3,3.1,0.0,0.1
2023-01-01 13:00:00,11.5,0.0,82.2,260.6,2.6,304.9,2.6,1.0,0.1
2023-01-01 14:00:00,11.3,0.0,87.0,95.0,2.5,288.9,2.4,0.0,0.1
2023-01-01 15:00:00,10.9,0.0,87.9,48.2,1.9,250.4,1.9,1.0,0.0
2023-01-01 16:00:00,10.4,0.0,92.3,7.7,1.7,214.9,1.7,1.0,0.0
2023-01-01 17:00:00,10.2,0.0,90.9,0.0,1.1,258.9,1.1,1.0,0.0
2023-01-01 18:00:00,9.9,0.0,91.8,0.0,0.0,354.4,0.0,1.0,0.0
2023-01-01 19:00:00,9.5,0.0,94.0,0.0,0.8,230.4,0.8,1.0,0.0
2023-01-01 20:00:00,8.8,0.0,94.8,0.0,0.7,231.6,0.7,1.0,0.0
2023-01-01 21:00:00,8.9,0.0,95.2,0.0,2.6,272.1,2.5,1.0,0.0
2023-01-01 22:00:00,9.1,0.0,93.7,0.0,1.4,294.5,1.4,1.0,0.0
2023-01-01 23:00:00,9.2,0.0,94.4,0.0,0.0,264.6,0.0,1.0,0.0
2023-01-02 00:00:00,9.4,0.0,91.8,0.0,1.5,307.2,1.5,1.0,0.0
2023-01-02 01:00:00,9.3,0.0,92.3,0.0,1.2,258.5,1.2,1.0,0.0
2023-01-02 02:00:00,9.1,0.0,93.0,0.0,0.5,282.5,0.5,1.0,0.0
2023-01-02 03:00:00,9.0,0.0,93.8,0.0,1.3,260.0,1.3,1.0,0.0
2023-01-02 04:00:00,8.9,0.0,94.0,0.0,1.6,250.0,1.6,1.0,0.0
2023-01-02 05:00:00,8.7,0.0,95.6,0.0,2.3,224.9,2.3,1.0,0.0
2023-01-02 06:00:00,8.4,0.0,98.1,0.0,2.0,219.6,2.0,1.0,0.0
2023-01-02 07:00:00,8.3,0.0,96.9,0.0,0.8,219.7,0.8,1.0,0.0
2023-01-02 08:00:00,8.2,0.0,96.8,7.0,1.4,262.7,1.4,1.0,0.0
2023-01-02 09:00:00,8.3,0.0,97.8,21.8,0.9,187.6,0.9,1.0,0.0
2023-01-02 10:00:00,8.4,0.0,96.9,43.3,0.9,214.8,0.9,1.0,0.0
2023-01-02 11:00:00,8.5,0.0,95.4,78.5,1.2,160.8,1.2,1.0,0.0
2023-01-02 12:00:00,9.1,0.0,92.6,113.5,1.0,106.8,1.0,1.0,0.1
2023-01-02 13:00:00,9.6,0.0,92.7,110.7,0.0,119.4,0.0,1.0,0.1
2023-01-02 14:00:00,9.2,0.0,92.9,42.7,1.2,53.7,1.2,1.0,0.0
2023-01-02 15:00:00,9.2,0.0,93.4,22.0,0.9,124.9,0.9,1.0,0.0
2023-01-02 16:00:00,9.0,0.0,94.3,3.8,1.2,164.9,1.2,1.0,0.0
2023-01-02 17:00:00,8.9,0.0,94.2,0.0,1.0,189.6,1.0,1.0,0.0
2023-01-02 18:00:00,8.8,0.0,94.3,0.0,0.4,324.8,0.4,1.0,0.0
2023-01-02 19:00:00,8.6,0.0,97.0,0.0,0.0,122.6,0.0,1.0,0.0
2023-01-02 20:00:00,8.4,0.0,97.8,0.0,0.7,15.5,0.7,1.0,0.0
2023-01-02 21:00:00,8.3,0.0,97.7,0.0,0.9,192.8,0.9,1.0,0.0
2023-01-02 22:00:00,8.1,0.0,98.0,0.0,0.3,220.1,0.3,1.0,0.0
2023-01-02 23:00:00,7.9,0.0,97.7,0.0,1.3,241.6,1.3,1.0,0.0
2023-01-03 00:00:00,7.9,0.0,97.8,0.0,0.7,256.1,0.7,1.0,0.0
2023-01-03 01:00:00,7.8,0.0,97.7,0.0,0.6,249.1,0.6,1.0,0.0
