#Datetime,soil_moisture_gravimetric[g/g],soil_moisture_volumetric[m3/m3],neutrons,muons,gamma,integration_time(s),V_in(Volt),temperature_in(°C),temperature_ext(°C),ur(%),pressure(hPa)
2023-01-13 10:00:00,,,,,,132.5,12.46,21.825,0,0,1017.31
2023-01-13 11:00:00,,,,,,136.60869565217,12.531739130435,22.048695652174,0,0,1016.8773913043
2023-01-13 12:00:00,,,,,,326.45454545455,12.548181818182,21.849090909091,0,0,1016.4681818182
2023-01-13 13:00:00,,,,,,368,12.507,22.796,0,0,1016.019
2023-01-13 14:00:00,,,,,,369.55555555556,12.528888888889,22.806666666667,0,0,1015.9577777778
2023-01-13 15:00:00,,,,,,309.75,12.53,22.54125,0,0,1016.02625
2023-01-13 16:00:00,,,,,,3662,12.49,22.73,0,0,1016.31
2023-01-13 17:00:00,,,,,,3605,12.53,22.93,0,0,1016.39
2023-01-13 18:00:00,,,,,,3605,12.51,22.31,0,0,1016.9
2023-01-13 19:00:00,,,,,,3605,12.53,21.83,0,0,1017.13
2023-01-13 20:00:00,,,,,,3605,12.55,21.43,0,0,1017.61
2023-01-13 21:00:00,,,,,,3605,12.54,21.04,0,0,1017.62
2023-01-13 22:00:00,,,,,,3605,12.51,20.72,0,0,1017.86
2023-01-13 23:00:00,,,,,,3605,12.55,20.43,0,0,1018.29
2023-01-14 00:00:00,,,,,,3605,12.51,20.12,0,0,1018.48
2023-01-14 01:00:00,,,,,,3605,12.51,19.88,0,0,1018.79
2023-01-14 02:00:00,,,,,,3605,12.46,19.64,0,0,1018.56
2023-01-14 03:00:00,,,,,,3615,12.51,19.41,0,0,1019.35
2023-01-14 04:00:00,,,,,,3605,12.53,19.14,0,0,1019.35
2023-01-14 05:00:00,,,,,,3605,12.51,18.85,0,0,1019.87
2023-01-14 06:00:00,,,,,,3610,12.53,18.59,0,0,1020.71
2023-01-14 07:00:00,,,,,,3605,12.57,18.38,0,0,1021.33
2023-01-14 08:00:00,,,,,,3605,12.5,18.26,0,0,1021.91
2023-01-14 09:00:00,,,,,,3605,12.49,18.29,0,0,1022.48
2023-01-14 10:00:00,,,,,,3605,12.51,18.33,0,0,1023.02
2023-01-14 11:00:00,,,,,,3605,12.5,18.48,0,0,1022.55
2023-01-14 12:00:00,,,,,,3605,12.53,18.6,0,0,1021.97
2023-01-14 13:00:00,,,,,,3605,12.56,18.7,0,0,1021.22
2023-01-14 14:00:00,,,,,,3605,12.5,18.72,0,0,1020.61
2023-01-14 15:00:00,,,,,,3605,12.51,18.73,0,0,1020.21
2023-01-14 16:00:00,,,,,,3605,12.53,18.64,0,0,1019.91
2023-01-14 17:00:00,,,,,,3605,12.61,18.58,0,0,1019.94
2023-01-14 18:00:00,,,,,,3605,12.52,18.48,0,0,1019.95
2023-01-14 19:00:00,,,,,,3605,12.54,18.38,0,0,1019.87
2023-01-14 20:00:00,,,,,,3605,12.48,18.29,0,0,1019.52
2023-01-14 21:00:00,,,,,,3605,12.51,18.2,0,0,1019.58
2023-01-14 22:00:00,,,,,,3605,12.5,18.07,0,0,1019.53
2023-01-14 23:00:00,,,,,,3605,12.5,17.98,0,0,1018.71
2023-01-15 00:00:00,,,,,,3605,12.55,17.86,0,0,1018.3
2023-01-15 01:00:00,,,,,,3607,12.59,17.76,0,0,1017.69
2023-01-15 02:00:00,,,,,,3605,12.5,17.66,0,0,1017.01
2023-01-15 03:00:00,,,,,,3605,12.57,17.57,0,0,1016.5
2023-01-15 04:00:00,,,,,,3614,12.53,17.49,0,0,1015.76
2023-01-15 05:00:00,,,,,,3605,12.53,17.42,0,0,1015.29
2023-01-15 06:00:00,,,,,,3605,12.5,17.32,0,0,1014.9
2023-01-15 07:00:00,,,,,,3605,12.51,17.27,0,0,1014.6
2023-01-15 08:00:00,,,,,,3606,12.45,17.21,0,0,1014.01
2023-01-15 09:00:00,,,,,,3605,12.51,17.16,0,0,1014.12
2023-01-15 10:00:00,,,,,,3605,12.46,17.11,0,0,1013.74
2023-01-15 11:00:00,,,,,,3605,12.51,17.07,0,0,1013.06
2023-01-15 12:00:00,,,,,,3605,12.59,17.02,0,0,1011.85
2023-01-15 13:00:00,,,,,,3605,12.53,16.99,0,0,1011.05
2023-01-15 14:00:00,,,,,,3605,12.49,16.95,0,0,1010.38
2023-01-15 15:00:00,,,,,,3605,12.53,16.91,0,0,1010.05
2023-01-15 16:00:00,,,,,,3605,12.54,16.85,0,0,1009.54
2023-01-15 17:00:00,,,,,,3605,12.55,16.82,0,0,1009.1
2023-01-15 18:00:00,,,,,,3605,12.55,16.76,0,0,1008.93
2023-01-15 19:00:00,,,,,,3605,12.49,16.77,0,0,1008.24
2023-01-15 20:00:00,,,,,,3605,12.48,16.77,0,0,1008.16
2023-01-15 21:00:00,,,,,,3605,12.55,16.75,0,0,1007.52
2023-01-15 22:00:00,,,,,,3615,12.56,16.73,0,0,1006.96
2023-01-15 23:00:00,,,,,,3605,12.49,16.74,0,0,1006.12
2023-01-16 00:00:00,,,,,,3605,12.52,16.71,0,0,1004.98
2023-01-16 01:00:00,,,,,,3605,12.58,16.71,0,0,1004.08
2023-01-16 02:00:00,,,,,,3605,12.53,16.69,0,0,1003.6
2023-01-16 03:00:00,,,,,,3605,12.55,16.66,0,0,1002.62
2023-01-16 04:00:00,,,,,,3605,12.54,16.63,0,0,1002.13
2023-01-16 05:00:00,,,,,,3605,12.51,16.59,0,0,1001.26
2023-01-16 06:00:00,,,,,,3605,12.52,16.57,0,0,1000.94
2023-01-16 07:00:00,,,,,,3605,12.51,17.74,0,0,1000.61
2023-01-16 09:00:00,,,,,,3658,12.56,20.72,0,0,999.58
2023-01-16 10:00:00,,,,,,3609,12.46,21.6,0,0,999.33
2023-01-16 11:00:00,,,,,,3609,12.52,22.21,0,0,998.18
2023-01-16 12:00:00,,,,,,3607,12.58,22.52,0,0,996.91
2023-01-16 13:00:00,,,,,,3609,12.48,22.65,0,0,995.64
2023-01-16 14:00:00,,,,,,3608,12.47,22.84,0,0,994.69
2023-01-16 15:00:00,,,,,,3609,12.52,22.96,0,0,993.81
