Datetime,neutrons,muons,gamma,integration_time(s),V_in(Volt),temperature_in(°C),temperature_ext(°C),ur(%),pressure(hPa)
2023-02-14 13:00:00,854,5403,0,3657,12.6,20.8,0,0,1030.7
2023-02-14 14:00:00,886,5058,0,3608,12.5,21.1,0,0,1029.8
2023-02-14 15:00:00,882,5235,0,3608,12.5,21.3,0,0,1029
2023-02-14 16:00:00,856,5002,0,3608,12.5,21.5,0,0,1028.6
2023-02-14 17:00:00,863,5264,0,3608,12.5,21.4,0,0,1028.4
2023-02-14 18:00:00,889,5168,0,3608,12.5,21.2,0,0,1028.7
2023-02-14 19:00:00,839,5118,0,3608,12.6,21,0,0,1029
2023-02-14 20:00:00,905,5254,0,3608,12.5,20.7,0,0,1029.1
2023-02-14 21:00:00,891,5182,0,3608,12.6,20.4,0,0,1029.1
2023-02-14 22:00:00,813,5011,0,3608,12.5,20.1,0,0,1029.1
2023-02-14 23:00:00,819,5282,0,3608,12.5,19.8,0,0,1029.1
2023-02-15 00:00:00,856,4949,0,3608,12.6,19.6,0,0,1029.2
2023-02-15 01:00:00,871,5140,0,3608,12.5,19.4,0,0,1029
2023-02-15 02:00:00,847,5008,0,3608,12.6,19.2,0,0,1028.6
2023-02-15 03:00:00,850,5173,0,3608,12.6,19,0,0,1028.2
2023-02-15 04:00:00,809,5242,0,3608,12.5,18.8,0,0,1027.8
2023-02-15 05:00:00,887,5175,0,3608,12.5,18.5,0,0,1027.6
2023-02-15 06:00:00,874,5235,0,3608,12.5,18.3,0,0,1027.6
2023-02-15 07:00:00,884,5240,0,3608,12.5,18,0,0,1027.7
2023-02-15 08:00:00,879,5359,0,3608,12.5,19.8,0,0,1028.1
2023-02-15 09:00:00,895,4802,0,3608,12.5,19.6,0,0,1028.1
2023-02-15 10:00:00,883,5136,0,3608,12.5,19.9,0,0,1028
2023-02-15 11:00:00,812,5065,0,3608,12.5,20.2,0,0,1028.1
2023-02-15 12:00:00,915,5374,0,3608,12.6,20.4,0,0,1027.5
2023-02-15 13:00:00,810,5228,0,3608,12.5,21.2,0,0,1026.8
2023-02-15 14:00:00,897,4962,0,3608,12.6,21.4,0,0,1026.1
2023-02-15 15:00:00,890,5367,0,3608,12.5,21.4,0,0,1025.8
2023-02-15 16:00:00,869,5199,0,3608,12.5,21.4,0,0,1025.7
2023-02-15 17:00:00,901,5208,0,3608,12.5,21.4,0,0,1025.6
2023-02-15 18:00:00,871,4973,0,3608,12.5,21.2,0,0,1025.7
2023-02-15 19:00:00,904,5140,0,3608,12.6,20.8,0,0,1026
2023-02-15 20:00:00,876,5313,0,3608,12.5,20.6,0,0,1026.2
2023-02-15 21:00:00,894,5170,0,3608,12.5,20.3,0,0,1026.4
2023-02-15 22:00:00,880,5278,0,3608,12.5,20.1,0,0,1026.5
2023-02-15 23:00:00,934,5040,0,3608,12.5,19.9,0,0,1026.7
2023-02-16 00:00:00,858,5028,0,3608,12.5,19.7,0,0,1026.6
2023-02-16 01:00:00,937,4991,0,3608,12.6,19.4,0,0,1026.6
2023-02-16 02:00:00,770,4997,0,3608,12.5,19.2,0,0,1026.9
2023-02-16 03:00:00,906,5266,0,3608,12.5,19,0,0,1026.5
2023-02-16 04:00:00,885,5123,0,3608,12.6,18.8,0,0,1026.5
2023-02-16 05:00:00,896,5081,0,3619,12.5,18.6,0,0,1026.5
2023-02-16 06:00:00,909,5201,0,3608,12.6,18.4,0,0,1026.8
2023-02-16 07:00:00,906,5281,0,3608,12.5,18.1,0,0,1026.8
2023-02-16 09:00:00,872,5033,0,3608,12.6,19.9,0,0,1027.4
2023-02-16 10:00:00,840,5161,0,3608,12.6,21.2,0,0,1027.7
2023-02-16 11:00:00,833,5170,0,3608,12.5,23.1,0,0,1028
2023-02-16 12:00:00,844,5141,0,3608,12.5,24.2,0,0,1028.2
2023-02-16 13:00:00,836,5079,0,3608,12.5,24.8,0,0,1028.2
2023-02-16 14:00:00,881,5149,0,3608,12.5,25.2,0,0,1027.7
2023-02-16 15:00:00,903,5348,0,3608,12.5,24.3,0,0,1027.1
2023-02-16 16:00:00,925,4946,0,3608,12.5,23.8,0,0,1026.6
2023-02-16 17:00:00,893,5111,0,3608,12.6,22.9,0,0,1026.5
2023-02-16 18:00:00,901,5164,0,3608,12.5,22.4,0,0,1026.5
2023-02-16 19:00:00,838,4975,0,3608,12.6,22.1,0,0,1026.5
2023-02-16 20:00:00,864,4979,0,3608,12.6,21.6,0,0,1026.9
2023-02-16 21:00:00,900,5066,0,3608,12.5,21.2,0,0,1027.2
2023-02-16 22:00:00,830,5172,0,3608,12.5,20.9,0,0,1027.6
2023-02-16 23:00:00,887,4945,0,3608,12.5,20.6,0,0,1027.9
2023-02-17 00:00:00,880,5223,0,3608,12.6,20.4,0,0,1027.7
2023-02-17 01:00:00,807,5088,0,3608,12.6,20.1,0,0,1027.7
2023-02-17 02:00:00,830,5032,0,3608,12.5,19.9,0,0,1028
2023-02-17 03:00:00,864,5062,0,3608,12.5,19.8,0,0,1027.8
2023-02-17 04:00:00,876,4935,0,3608,12.6,19.6,0,0,1027.5
2023-02-17 05:00:00,925,5005,0,3608,12.5,19.4,0,0,1027.4
2023-02-17 06:00:00,900,4999,0,3608,12.5,19.3,0,0,1027.5
2023-02-17 07:00:00,813,5007,0,3608,12.5,19.1,0,0,1027.7
2023-02-17 08:00:00,886,5067,0,3608,12.5,18.9,0,0,1027.8
2023-02-17 09:00:00,880,5101,0,3608,12.5,18.9,0,0,1028.2
2023-02-17 10:00:00,827,5218,0,3608,12.5,21.1,0,0,1028.6
2023-02-17 11:00:00,922,5083,0,3608,12.5,22.2,0,0,1028.6
2023-02-17 12:00:00,870,4993,0,3608,12.5,23.5,0,0,1028.6
2023-02-17 13:00:00,860,5106,0,3608,12.5,24.4,0,0,1028.6
2023-02-17 14:00:00,896,5003,0,3608,12.5,24.7,0,0,1027.7
2023-02-17 15:00:00,859,5121,0,3608,12.5,25.2,0,0,1027
2023-02-17 16:00:00,917,5077,0,3608,12.5,24.8,0,0,1026.7
2023-02-17 17:00:00,865,5203,0,3608,12.5,23.8,0,0,1026.7
2023-02-17 18:00:00,873,5019,0,3608,12.5,23.2,0,0,1026.6
2023-02-17 19:00:00,845,5199,0,3608,12.6,22.5,0,0,1027
2023-02-17 20:00:00,859,5160,0,3608,12.5,21.8,0,0,1027.5
2023-02-17 21:00:00,900,5277,0,3608,12.6,21.4,0,0,1028
2023-02-17 22:00:00,859,5092,0,3608,12.5,21,0,0,1027.8
2023-02-17 23:00:00,909,5092,0,3608,12.6,20.7,0,0,1027.6
