datetime,neutrons,muons,gamma,integration_time(s),V_in(Volt),temperature_in(°C),temperature_ext(°C),ur(%),pressure(hPa)
2023-02-14 13:00:00,854.0,5403.0,0.0,3657.0,12.6,20.8,0.0,0.0,1030.7
2023-02-14 14:00:00,886.0,5058.0,0.0,3608.0,12.5,21.1,0.0,0.0,1029.8
2023-02-14 15:00:00,882.0,5235.0,0.0,3608.0,12.5,21.3,0.0,0.0,1029.0
2023-02-14 16:00:00,856.0,5002.0,0.0,3608.0,12.5,21.5,0.0,0.0,1028.6
2023-02-14 17:00:00,863.0,5264.0,0.0,3608.0,12.5,21.4,0.0,0.0,1028.4
2023-02-14 18:00:00,889.0,5168.0,0.0,3608.0,12.5,21.2,0.0,0.0,1028.7
2023-02-14 19:00:00,839.0,5118.0,0.0,3608.0,12.6,21.0,0.0,0.0,1029.0
2023-02-14 20:00:00,905.0,5254.0,0.0,3608.0,12.5,20.7,0.0,0.0,1029.1
2023-02-14 21:00:00,891.0,5182.0,0.0,3608.0,12.6,20.4,0.0,0.0,1029.1
2023-02-14 22:00:00,813.0,5011.0,0.0,3608.0,12.5,20.1,0.0,0.0,1029.1
2023-02-14 23:00:00,819.0,5282.0,0.0,3608.0,12.5,19.8,0.0,0.0,1029.1
2023-02-15 00:00:00,856.0,4949.0,0.0,3608.0,12.6,19.6,0.0,0.0,1029.2
2023-02-15 01:00:00,871.0,5140.0,0.0,3608.0,12.5,19.4,0.0,0.0,1029.0
2023-02-15 02:00:00,847.0,5008.0,0.0,3608.0,12.6,19.2,0.0,0.0,1028.6
2023-02-15 03:00:00,850.0,5173.0,0.0,3608.0,12.6,19.0,0.0,0.0,1028.2
2023-02-15 04:00:00,809.0,5242.0,0.0,3608.0,12.5,18.8,0.0,0.0,1027.8
2023-02-15 05:00:00,887.0,5175.0,0.0,3608.0,12.5,18.5,0.0,0.0,1027.6
2023-02-15 06:00:00,874.0,5235.0,0.0,3608.0,12.5,18.3,0.0,0.0,1027.6
2023-02-15 07:00:00,884.0,5240.0,0.0,3608.0,12.5,18.0,0.0,0.0,1027.7
2023-02-15 08:00:00,879.0,5359.0,0.0,3608.0,12.5,19.8,0.0,0.0,1028.1
2023-02-15 09:00:00,895.0,4802.0,0.0,3608.0,12.5,19.6,0.0,0.0,1028.1
2023-02-15 10:00:00,883.0,5136.0,0.0,3608.0,12.5,19.9,0.0,0.0,1028.0
2023-02-15 11:00:00,812.0,5065.0,0.0,3608.0,12.5,20.2,0.0,0.0,1028.1
2023-02-15 12:00:00,915.0,5374.0,0.0,3608.0,12.6,20.4,0.0,0.0,1027.5
2023-02-15 13:00:00,810.0,5228.0,0.0,3608.0,12.5,21.2,0.0,0.0,1026.8
2023-02-15 14:00:00,897.0,4962.0,0.0,3608.0,12.6,21.4,0.0,0.0,1026.1
2023-02-15 15:00:00,890.0,5367.0,0.0,3608.0,12.5,21.4,0.0,0.0,1025.8
2023-02-15 16:00:00,869.0,5199.0,0.0,3608.0,12.5,21.4,0.0,0.0,1025.7
2023-02-15 17:00:00,901.0,5208.0,0.0,3608.0,12.5,21.4,0.0,0.0,1025.6
2023-02-15 18:00:00,871.0,4973.0,0.0,3608.0,12.5,21.2,0.0,0.0,1025.7
2023-02-15 19:00:00,904.0,5140.0,0.0,3608.0,12.6,20.8,0.0,0.0,1026.0
2023-02-15 20:00:00,876.0,5313.0,0.0,3608.0,12.5,20.6,0.0,0.0,1026.2
2023-02-15 21:00:00,894.0,5170.0,0.0,3608.0,12.5,20.3,0.0,0.0,1026.4
2023-02-15 22:00:00,880.0,5278.0,0.0,3608.0,12.5,20.1,0.0,0.0,1026.5
2023-02-15 23:00:00,934.0,5040.0,0.0,3608.0,12.5,19.9,0.0,0.0,1026.7
2023-02-16 00:00:00,858.0,5028.0,0.0,3608.0,12.5,19.7,0.0,0.0,1026.6
2023-02-16 01:00:00,937.0,4991.0,0.0,3608.0,12.6,19.4,0.0,0.0,1026.6
2023-02-16 02:00:00,770.0,4997.0,0.0,3608.0,12.5,19.2,0.0,0.0,1026.9
2023-02-16 03:00:00,906.0,5266.0,0.0,3608.0,12.5,19.0,0.0,0.0,1026.5
2023-02-16 04:00:00,885.0,5123.0,0.0,3608.0,12.6,18.8,0.0,0.0,1026.5
2023-02-16 05:00:00,896.0,5081.0,0.0,3619.0,12.5,18.6,0.0,0.0,1026.5
2023-02-16 06:00:00,909.0,5201.0,0.0,3608.0,12.6,18.4,0.0,0.0,1026.8
2023-02-16 07:00:00,906.0,5281.0,0.0,3608.0,12.5,18.1,0.0,0.0,1026.8
2023-02-16 08:00:00,,,,,,,,,
2023-02-16 09:00:00,872.0,5033.0,0.0,3608.0,12.6,19.9,0.0,0.0,1027.4
2023-02-16 10:00:00,840.0,5161.0,0.0,3608.0,12.6,21.2,0.0,0.0,1027.7
2023-02-16 11:00:00,833.0,5170.0,0.0,3608.0,12.5,23.1,0.0,0.0,1028.0
2023-02-16 12:00:00,844.0,5141.0,0.0,3608.0,12.5,24.2,0.0,0.0,1028.2
2023-02-16 13:00:00,836.0,5079.0,0.0,3608.0,12.5,24.8,0.0,0.0,1028.2
2023-02-16 14:00:00,881.0,5149.0,0.0,3608.0,12.5,25.2,0.0,0.0,1027.7
2023-02-16 15:00:00,903.0,5348.0,0.0,3608.0,12.5,24.3,0.0,0.0,1027.1
2023-02-16 16:00:00,925.0,4946.0,0.0,3608.0,12.5,23.8,0.0,0.0,1026.6
2023-02-16 17:00:00,893.0,5111.0,0.0,3608.0,12.6,22.9,0.0,0.0,1026.5
2023-02-16 18:00:00,901.0,5164.0,0.0,3608.0,12.5,22.4,0.0,0.0,1026.5
2023-02-16 19:00:00,838.0,4975.0,0.0,3608.0,12.6,22.1,0.0,0.0,1026.5
2023-02-16 20:00:00,864.0,4979.0,0.0,3608.0,12.6,21.6,0.0,0.0,1026.9
2023-02-16 21:00:00,900.0,5066.0,0.0,3608.0,12.5,21.2,0.0,0.0,1027.2
2023-02-16 22:00:00,830.0,5172.0,0.0,3608.0,12.5,20.9,0.0,0.0,1027.6
2023-02-16 23:00:00,887.0,4945.0,0.0,3608.0,12.5,20.6,0.0,0.0,1027.9
2023-02-17 00:00:00,880.0,5223.0,0.0,3608.0,12.6,20.4,0.0,0.0,1027.7
2023-02-17 01:00:00,807.0,5088.0,0.0,3608.0,12.6,20.1,0.0,0.0,1027.7
2023-02-17 02:00:00,830.0,5032.0,0.0,3608.0,12.5,19.9,0.0,0.0,1028.0
2023-02-17 03:00:00,864.0,5062.0,0.0,3608.0,12.5,19.8,0.0,0.0,1027.8
2023-02-17 04:00:00,876.0,4935.0,0.0,3608.0,12.6,19.6,0.0,0.0,1027.5
2023-02-17 05:00:00,925.0,5005.0,0.0,3608.0,12.5,19.4,0.0,0.0,1027.4
2023-02-17 06:00:00,900.0,4999.0,0.0,3608.0,12.5,19.3,0.0,0.0,1027.5
2023-02-17 07:00:00,813.0,5007.0,0.0,3608.0,12.5,19.1,0.0,0.0,1027.7
2023-02-17 08:00:00,886.0,5067.0,0.0,3608.0,12.5,18.9,0.0,0.0,1027.8
2023-02-17 09:00:00,880.0,5101.0,0.0,3608.0,12.5,18.9,0.0,0.0,1028.2
2023-02-17 10:00:00,827.0,5218.0,0.0,3608.0,12.5,21.1,0.0,0.0,1028.6
2023-02-17 11:00:00,922.0,5083.0,0.0,3608.0,12.5,22.2,0.0,0.0,1028.6
2023-02-17 12:00:00,870.0,4993.0,0.0,3608.0,12.5,23.5,0.0,0.0,1028.6
2023-02-17 13:00:00,860.0,5106.0,0.0,3608.0,12.5,24.4,0.0,0.0,1028.6
2023-02-17 14:00:00,896.0,5003.0,0.0,3608.0,12.5,24.7,0.0,0.0,1027.7
2023-02-17 15:00:00,859.0,5121.0,0.0,3608.0,12.5,25.2,0.0,0.0,1027.0
2023-02-17 16:00:00,917.0,5077.0,0.0,3608.0,12.5,24.8,0.0,0.0,1026.7
2023-02-17 17:00:00,865.0,5203.0,0.0,3608.0,12.5,23.8,0.0,0.0,1026.7
2023-02-17 18:00:00,873.0,5019.0,0.0,3608.0,12.5,23.2,0.0,0.0,1026.6
2023-02-17 19:00:00,845.0,5199.0,0.0,3608.0,12.6,22.5,0.0,0.0,1027.0
2023-02-17 20:00:00,859.0,5160.0,0.0,3608.0,12.5,21.8,0.0,0.0,1027.5
2023-02-17 21:00:00,900.0,5277.0,0.0,3608.0,12.6,21.4,0.0,0.0,1028.0
2023-02-17 22:00:00,859.0,5092.0,0.0,3608.0,12.5,21.0,0.0,0.0,1027.8
2023-02-17 23:00:00,909.0,5092.0,0.0,3608.0,12.6,20.7,0.0,0.0,1027.6
2023-02-18 00:00:00,881.0,5021.0,0.0,3608.0,12.5,20.5,0.0,0.0,1027.9
2023-02-18 01:00:00,825.0,5174.0,0.0,3608.0,12.5,20.3,0.0,0.0,1027.9
2023-02-18 02:00:00,836.0,4846.0,0.0,3619.0,12.5,20.1,0.0,0.0,1027.9
2023-02-18 03:00:00,876.0,5146.0,0.0,3608.0,12.6,20.0,0.0,0.0,1027.5
2023-02-18 04:00:00,801.0,5035.0,0.0,3608.0,12.5,19.8,0.0,0.0,1027.1
2023-02-18 05:00:00,827.0,5088.0,0.0,3608.0,12.5,19.6,0.0,0.0,1026.8
2023-02-18 06:00:00,870.0,4927.0,0.0,3608.0,12.5,19.6,0.0,0.0,1026.7
2023-02-18 07:00:00,830.0,5002.0,0.0,3608.0,12.6,19.4,0.0,0.0,1026.8
2023-02-18 08:00:00,832.0,5109.0,0.0,3608.0,12.6,19.2,0.0,0.0,1026.8
2023-02-18 09:00:00,825.0,4972.0,0.0,3608.0,12.6,19.1,0.0,0.0,1027.1
2023-02-18 10:00:00,855.0,5192.0,0.0,3608.0,12.5,19.1,0.0,0.0,1027.4
2023-02-18 11:00:00,882.0,4868.0,0.0,3608.0,12.6,19.0,0.0,0.0,1027.3
2023-02-18 12:00:00,797.0,5220.0,0.0,3608.0,12.5,19.0,0.0,0.0,1027.2
2023-02-18 13:00:00,872.0,4969.0,0.0,3608.0,12.5,19.0,0.0,0.0,1026.9
2023-02-18 14:00:00,900.0,4972.0,0.0,3608.0,12.6,19.1,0.0,0.0,1025.7
2023-02-18 15:00:00,820.0,5324.0,0.0,3608.0,12.5,19.2,0.0,0.0,1025.1
2023-02-18 16:00:00,906.0,5009.0,0.0,3608.0,12.5,19.2,0.0,0.0,1024.4
2023-02-18 17:00:00,863.0,5220.0,0.0,3608.0,12.5,19.2,0.0,0.0,1023.8
2023-02-18 18:00:00,905.0,5121.0,0.0,3608.0,12.6,19.1,0.0,0.0,1023.7
2023-02-18 19:00:00,898.0,5051.0,0.0,3608.0,12.5,19.1,0.0,0.0,1023.5
2023-02-18 20:00:00,876.0,4966.0,0.0,3608.0,12.5,19.1,0.0,0.0,1023.7
2023-02-18 21:00:00,927.0,5146.0,0.0,3608.0,12.6,19.0,0.0,0.0,1023.5
2023-02-18 22:00:00,921.0,5002.0,0.0,3608.0,12.5,18.9,0.0,0.0,1023.9
2023-02-18 23:00:00,846.0,5110.0,0.0,3608.0,12.6,18.8,0.0,0.0,1023.8
2023-02-19 00:00:00,881.0,5114.0,0.0,3608.0,12.5,18.7,0.0,0.0,1023.9
2023-02-19 01:00:00,817.0,4954.0,0.0,3608.0,12.5,18.6,0.0,0.0,1023.8
2023-02-19 02:00:00,902.0,5145.0,0.0,3608.0,12.6,18.5,0.0,0.0,1023.6
2023-02-19 03:00:00,912.0,5037.0,0.0,3608.0,12.5,18.5,0.0,0.0,1023.1
2023-02-19 04:00:00,917.0,5107.0,0.0,3608.0,12.5,18.4,0.0,0.0,1022.9
2023-02-19 05:00:00,931.0,5124.0,0.0,3608.0,12.5,18.3,0.0,0.0,1022.3
